InventoryID,Company,TypeName,GPU,Screen,Memory,Weight,Rating,Price
108,Asus,Notebook,Intel,15.6,8,2.37,2,1099
111,Asus,Notebook,Intel,13.3,8,1.4,6,1150
112,Asus,Ultrabook,Nvidia,14,16,1.3,9,1495
117,Asus,Ultrabook,Intel,12.5,16,0.91,5,1950
118,Asus,Ultrabook,Intel,14,16,1.1,5,1900
119,Asus,Ultrabook,Intel,14,8,1.25,4,1049
120,Asus,Ultrabook,Nvidia,14,8,1.3,10,1193
121,Asus,Ultrabook,Intel,14,8,1.25,3,1099
123,Asus,Ultrabook,Nvidia,15.6,8,1.7,2,1049.9
130,Asus,Ultrabook,Intel,13.3,8,1.2,6,729
131,Asus,Ultrabook,Intel,13.3,8,1.2,9,729
132,Dell,Gaming,Nvidia,15.6,16,2.65,7,1499
133,Dell,Gaming,Nvidia,15.6,16,2.65,5,1349
134,Dell,Gaming,Nvidia,15.6,16,2.56,10,1249.26
135,Dell,Gaming,Nvidia,15.6,16,2.65,9,1845
136,Dell,Gaming,Nvidia,17.3,16,4.42,10,2456.34
137,Dell,Gaming,Nvidia,17.3,16,4.42,3,2799
138,Dell,Gaming,Nvidia,17.3,16,4.42,1,3012.77
139,Dell,Gaming,Nvidia,17.3,16,4.42,2,2699
140,Dell,Gaming,Nvidia,15.6,16,2.59,10,879.01
142,Dell,Gaming,Nvidia,15.6,16,3.21,9,2051
145,Dell,Gaming,Nvidia,15.6,16,2.72,9,1099
150,Dell,Gaming,Nvidia,17.3,16,4.36,6,2758
151,Dell,Gaming,Nvidia,17.3,16,4.36,3,3154
152,Dell,Gaming,Nvidia,15.6,16,3.21,5,1329
153,Dell,Gaming,Nvidia,15.6,8,2.65,7,1195
156,Dell,Gaming,Nvidia,15.6,8,2.56,8,879
157,Dell,Gaming,Nvidia,15.6,8,2.65,10,999
159,Dell,Gaming,Nvidia,15.6,8,2.56,6,819
161,Dell,Gaming,Nvidia,15.6,8,2.62,3,985
163,Dell,Gaming,Nvidia,15.6,8,2.65,1,949
164,Dell,Gaming,Nvidia,15.6,8,2.62,4,1199
165,Dell,Gaming,Nvidia,15.6,8,2.62,10,1498
169,Dell,Notebook,Nvidia,17.3,16,2.77,4,1549
171,Dell,Notebook,AMD,15.6,16,2.3,7,859.01
173,Dell,Notebook,Nvidia,15.6,16,2.06,7,2027.42
174,Dell,Notebook,Nvidia,15.6,16,2.06,6,1899
175,Dell,Notebook,AMD,15.6,16,2.2,8,1219.24
179,Dell,Notebook,Intel,15.6,16,1.93,3,1426.66
180,Dell,Notebook,AMD,15.6,16,2.3,3,1181.27
181,Dell,Notebook,AMD,15.6,16,2.32,3,989.99
182,Dell,Notebook,AMD,15.6,4,2.2,9,498.9
186,Dell,Notebook,AMD,15.6,4,2.2,3,449
194,Dell,Notebook,Intel,15.6,4,2.18,1,586.6
195,Dell,Notebook,AMD,15.6,4,2.3,2,585
197,Dell,Notebook,AMD,15.6,4,2.18,2,617.9
198,Dell,Notebook,Intel,15.6,4,1.93,2,959
200,Dell,Notebook,Intel,15.6,4,2.18,7,443.9
204,Dell,Notebook,AMD,15.6,4,2.2,9,776
205,Dell,Notebook,AMD,15.6,4,2.2,4,545.67
206,Dell,Notebook,Intel,13.3,4,1.65,8,849
207,Dell,Notebook,Intel,14,4,1.76,6,755
211,Dell,Notebook,Intel,15.6,4,2.2,1,369
214,Dell,Notebook,AMD,15.6,4,2.18,1,684.99
216,Dell,Notebook,Intel,15.6,4,2.18,8,708.06
219,Dell,Notebook,AMD,15.6,4,2.25,1,465.62
222,Dell,Notebook,Intel,15.6,4,2.18,6,547
223,Dell,Notebook,Intel,15.6,4,2.25,7,559
224,Dell,Notebook,Intel,15.6,4,2.06,6,481.98
226,Dell,Notebook,AMD,15.6,4,2.24,1,769.15
227,Dell,Notebook,Intel,15.6,4,2.09,6,523.63
229,Dell,Notebook,Intel,15.6,4,2.18,9,521.86
232,Dell,Notebook,Intel,15.6,4,2.2,8,324
233,Dell,Notebook,Intel,15.6,4,2.2,9,443.99
238,Dell,Notebook,Intel,15.6,6,2.3,6,459
241,Dell,Notebook,AMD,17.3,8,2.8,5,979
242,Dell,Notebook,AMD,15.6,8,2.13,3,767.8
244,Dell,Notebook,Intel,15.6,8,2.02,5,855
245,Dell,Notebook,AMD,15.6,8,2.2,8,599.9
248,Dell,Notebook,AMD,15.6,8,2.36,2,638.99
249,Dell,Notebook,AMD,15.6,8,2.13,6,728
250,Dell,Notebook,Intel,15.6,8,2.3,7,459
253,Dell,Notebook,Intel,14,8,1.6,6,859
256,Dell,Notebook,AMD,15.6,8,2.24,3,565
258,Dell,Notebook,AMD,17.3,8,2.8,10,1099
259,Dell,Notebook,Nvidia,15.6,8,2,2,1829
260,Dell,Notebook,AMD,15.6,8,2.33,7,844
263,Dell,Notebook,Intel,15.6,8,2.36,8,557.37
265,Dell,Notebook,AMD,17.3,8,2.8,4,1085
266,Dell,Notebook,AMD,15.6,8,2.33,3,899
267,Dell,Notebook,AMD,15.6,8,2.33,3,778.87
268,Dell,Notebook,Intel,15.6,8,2.14,5,539.95
270,Dell,Notebook,Nvidia,14,8,1.64,3,1179
275,Dell,Notebook,AMD,15.6,8,2.2,4,675
277,Dell,Notebook,Intel,15.6,8,2.18,5,836
280,Dell,Notebook,Intel,15.6,8,1.9,5,1377
281,Dell,Notebook,Nvidia,15.6,8,1.93,3,1369
283,Dell,Notebook,Intel,15.6,8,1.9,6,1116.99
290,Dell,Notebook,Intel,15.6,8,2.18,3,795
294,Dell,Notebook,AMD,15.6,8,2.2,8,719
295,Dell,Notebook,AMD,15.6,8,2.32,5,589.52
296,Dell,Notebook,Nvidia,15.6,8,2,10,1207
300,Dell,Notebook,AMD,15.6,8,2,9,739
301,Dell,Notebook,Nvidia,15.6,8,2.06,8,1749
304,Dell,Notebook,Intel,15.6,8,2.18,2,713.99
305,Dell,Notebook,AMD,17.3,8,2.83,2,865
309,Dell,Notebook,Intel,14,8,1.6,6,1205
311,Dell,Notebook,Intel,14,8,1.6,9,1119
312,Dell,Notebook,Intel,15.6,8,2.09,7,1046.44
313,Dell,Notebook,Intel,15.6,8,2.09,10,1062.95
315,Dell,Notebook,AMD,15.6,8,2.36,6,638.8
316,Dell,Notebook,AMD,15.6,8,2.5,7,784
317,Dell,Notebook,Nvidia,15.6,8,2.18,5,1009.9
319,Dell,Notebook,Nvidia,15.6,8,1.98,1,895.01
321,Dell,Notebook,Intel,15.6,8,2.3,4,469.01
324,Dell,Notebook,AMD,15.6,8,2.3,1,805.99
327,Dell,Ultrabook,Intel,15.6,16,1.88,2,1607.96
329,Dell,Ultrabook,Intel,13.3,16,1.29,7,2240
330,Dell,Ultrabook,Intel,13.3,16,1.2,8,2254
331,Dell,Ultrabook,Intel,13.3,16,1.2,8,2680
336,Dell,Ultrabook,Intel,15.6,8,1.88,1,1298
337,Dell,Ultrabook,Intel,14,8,1.7,10,879
338,Dell,Ultrabook,AMD,13.3,8,1.4,3,955
339,Dell,Ultrabook,Intel,15.6,8,1.88,9,1096.16
340,Dell,Ultrabook,Intel,13.3,8,1.21,9,1649
341,Dell,Ultrabook,Intel,13.3,8,1.23,8,1379
345,Dell,Ultrabook,Intel,13.3,8,1.2,9,1449
346,Dell,Ultrabook,AMD,13.3,8,1.4,7,931.88
347,Dell,Ultrabook,Intel,14,8,1.6,3,1149
353,Dell,Ultrabook,Intel,14,8,1.6,4,1099
355,Dell,Ultrabook,Intel,13.3,8,1.29,3,899
356,Dell,Ultrabook,Intel,13.3,8,1.2,6,1399
357,Dell,Ultrabook,Intel,13.3,8,1.21,9,1599
358,Dell,Ultrabook,Intel,13.3,8,1.23,5,1869
359,Dell,Ultrabook,Intel,13.3,8,1.2,4,1449.9
364,Dell,Ultrabook,Intel,14,8,1.36,2,1775
366,Dell,Ultrabook,Intel,14,8,1.5,8,1962.98
369,Dell,Ultrabook,Intel,12.5,8,1.5,10,1413.1
370,Dell,Ultrabook,Intel,13.3,8,1.23,5,1379
371,Dell,Ultrabook,Intel,13.3,8,1.23,8,1099
